Tanggal,Produk,Kategori,Harga,Jumlah,Total
2023-01-01,Air Mineral,Minuman,5000,5,25000
2023-01-02,Kentang Goreng,Makanan,20000,3,60000
2023-01-03,Earphone,Elektronik,15000,4,60000
2023-01-04,Kopi Kemasan,Minuman,10000,2,20000
2023-02-05,Nugget,Makanan,20000,1,20000
2023-02-06,Kabel Charger,Elektronik,50000,6,300000
2023-02-07,Teh Celup,Minuman,10000,3,30000
2023-02-08,Sosis,Makanan,20000,4,80000
2023-03-09,Monitor,Elektronik,1000000,2,2000000
2023-03-10,Energy Drink,Minuman,10000,5,50000
2023-03-11,Fish Cake,Makanan,20000,3,60000
2023-03-12,Laptop,Elektronik,5000000,4,20000000
2023-04-13,Soda,Minuman,10000,2,20000
2023-04-14,Sushi,Makanan,50000,1,50000
2023-04-15,RAM,Elektronik,500000,6,3000000
2023-04-16,Isotonic Drink,Minuman,10000,3,30000
2023-05-17,Katsu,Makanan,20000,4,80000
2023-05-18,Mouse,Elektronik,100000,2,200000
2023-05-19,Vitamin Drink,Minuman,10000,5,50000
2023-05-20,Daging Ayam,Makanan,20000,3,60000
2023-06-21,Keyboard,Elektronik,200000,4,800000
2023-06-22,Sports Drink,Minuman,10000,2,20000
2023-06-23,Daging Sapi,Makanan,50000,1,50000
2023-06-24,Joystick,Elektronik,300000,6,1800000
2023-07-25,Soft Drink,Minuman,10000,3,30000
2023-07-26,Pasta,Makanan,35000,4,140000
2023-07-27,Handphone,Elektronik,2000000,2,4000000
2023-07-28,Teh Botol,Minuman,10000,5,50000
2023-08-29,Keju,Makanan,45000,3,135000
2023-08-30,Tablet,Elektronik,3000000,4,12000000
2023-08-31,Diet Soda,Minuman,10000,2,20000
2023-08-01,Kerupuk Udang,Makanan,20000,1,20000
2023-09-02,Kamera,Elektronik,4000000,6,24000000
2023-09-03,Cokelat Dingin,Minuman,10000,3,30000
2023-09-04,Usus Sapi,Makanan,20000,4,80000
2023-09-05,Speaker,Elektronik,500000,2,1000000
2023-10-06,Coca Cola,Minuman,8000,5,40000
2023-10-07,Usus Ayam,Makanan,20000,3,60000
2023-10-08,Modem,Elektronik,500000,4,2000000
2023-10-09,Sprite,Minuman,8000,2,16000
2023-11-10,Ikan Bandeng,Makanan,20000,1,20000
2023-11-11,Smartwatch,Elektronik,2000000,6,12000000
2023-11-12,Pepsi,Minuman,8000,3,24000
2023-11-13,Ikan Mas,Makanan,20000,4,80000
2023-12-14,Magic Jar,Elektronik,500000,2,1000000
2023-12-15,Fanta,Minuman,5000,9,45000
2023-12-16,Yakult,Minuman,5000,4,20000
2023-12-17,Tropicana,Minuman,7000,6,42000
2023-12-18,Marjan,Minuman,30000,5,150000
